MSE,RMSE,MAE
12.376843908921218,3.518073891907505,2.0604597663019057
6.479070065579917,2.5454017493472256,1.6091240574111134
9.75747330864434,3.1236954570899416,1.9045214559555577
7.132948785357237,2.6707580918827594,1.798722260544764
6.2568994815418835,2.5013795156956657,1.603009619148149
6.581094302308365,2.5653643605360164,1.540753019000001
5.7023995508760805,2.387969755017027,1.4591360078185192
6.685366138785564,2.5856074989807643,1.7119018629222238
7.0445685641961004,2.6541606138657285,1.737836695415344
7.017182763372928,2.6489965578257983,1.623951577814816
9.691613928218175,3.113135706681958,1.8106078696358918
8.268367548324578,2.875476925368134,1.6383122599555533
7.304038306186196,2.702598435984561,1.706241467191853
8.465342758350662,2.909526208569131,1.7653702214888896
6.105951833229297,2.471022426694929,1.5552799703925906
7.795972276557421,2.792126837476661,1.7424731656909243
8.782393449469081,2.9635103255209154,1.8952391307777765
7.740096295381309,2.782102854924905,1.8059136171945682
8.452533057705969,2.907324037273102,1.807593033866668
7.313148518662146,2.70428336508254,1.6625873648169769
10.62972645898262,3.2603261277029665,1.8868619895777794
8.294622537558334,2.880038634733627,1.7672547525722264
5.898728483068593,2.4287298085766134,1.6017113520666668
7.308176228710064,2.7033638727907245,1.7471477332355572
8.598861333971964,2.9323815123499815,1.7773923719333342
8.542719526421067,2.9227931035947563,1.7286568211000026
6.732033197158457,2.594616194576465,1.6628968169629652
6.115048920902595,2.47286249534878,1.6151198825333315
6.622157127612056,2.573355227638045,1.6083535636444473
8.455804777972475,2.907886651500102,1.6939555447792596
5.582030333163508,2.362632077400861,1.5643377080114171
12.48656679126924,3.533633652668205,1.9363227590103074
7.521290916164314,2.742497204404102,1.7501329604244387
7.027913692321439,2.6510212545963188,1.730318572501372
6.597679778102013,2.5685949034641515,1.6376203373777787
7.928464841705465,2.8157529795252754,1.806970947838097
6.312712924648276,2.512511278511656,1.6083849013111102
7.085220476361009,2.661807745942785,1.7614954580666689
10.09899496752669,3.1778915915315125,1.8383006564444446
5.429426608149669,2.3301130033004127,1.5030776927222211
5.857670792074635,2.420262546104169,1.5801745697333347
6.958215808614754,2.6378430219811704,1.7140922049416127
9.580291791922917,3.095204644595074,1.8201132216265108
9.264230897903317,3.0437199112111677,1.710417066893337
8.047168394623128,2.836753143053362,1.873728018723706
7.082792304046535,2.661351593466473,1.6345324413185205
8.007436477163964,2.829741415246977,1.76604565762672
5.826752068220796,2.4138666218788467,1.5750857077000007
10.267518626711759,3.204296900524631,1.8931989923422219
7.368995417563521,2.7145893644460335,1.6471125264513815
6.364134266601967,2.5227235810928565,1.6229737095111088
7.279873793481793,2.6981241249212005,1.6477730992876787
8.358030287972019,2.8910258193195055,1.8888535720755557
9.469698617435663,3.077287542209155,1.8985493451666677
8.392901631262147,2.897050505473135,1.8395730147092586
7.9949529620249145,2.827534785289991,1.8336563874111091
5.522609689568439,2.3500233380901645,1.5554738737111125
6.0910055986686,2.467996272012703,1.6532121213157436
7.734310854319019,2.78106290010115,1.7439943538645533
8.256743645510229,2.8734550014764855,1.6417610884444451
8.950009573844008,2.9916566604214476,1.7997428449466644
6.350159831447044,2.519952347058778,1.6146440057333333
5.273587846679497,2.2964293689725137,1.4547674884148154
8.456637977964396,2.908029913526406,1.8372761871958736
6.059725028747426,2.4616508746667196,1.5975265156765086
4.696822463437804,2.1672153708013893,1.444358481150371
5.413448368229617,2.326681836485087,1.5079847705111113
6.75997112644369,2.5999944473870884,1.6554136687249976
7.4522626490171024,2.7298832665550194,1.6725427096279637
8.005932292318827,2.829475621439214,1.6692095686199988
7.080373578617449,2.6608971379249984,1.6913715757628052
11.84695699381747,3.4419408759909675,1.942766471546591
6.7387214721235065,2.5959047502024233,1.5336348811111111
6.5610019131752555,2.5614452781926174,1.6363959319111117
6.76173381223625,2.600333404053459,1.6745800560518511
5.985466181210587,2.4465212407029266,1.5902871119138844
7.3754543191322375,2.7157787684441894,1.7021621308888917
7.93091425006411,2.816187893245781,1.7840102921111107
6.985020420374923,2.642918920507196,1.6616621586916658
7.430763188010799,2.7259426237561932,1.671707549342857
7.025967976465937,2.6506542544183196,1.7019272821285207
7.877397888294098,2.806670249297929,1.622774783711112
6.518119142696578,2.5530607401110883,1.6073828103400005
6.8930330512906695,2.625458636370162,1.690350658440069
5.229707850568071,2.2868554503002745,1.5310561903925919
7.446316886922256,2.7287940352694733,1.6740643175370051
8.680572749562256,2.946281172862199,1.692945710486233
7.459226259729886,2.7311584098565,1.7604504865133372
10.070726801215832,3.1734408457092487,1.938879345635556
6.8948288772010065,2.625800616421781,1.6074145192857137
8.11360993990725,2.8484399133398,1.795706318937671
7.665929132083887,2.7687414346745864,1.7651704058076232
7.338791532298269,2.70902040086417,1.5806331496199992
6.201701220752649,2.490321509514916,1.589668699048519
6.9792431567076445,2.6418257241361784,1.7066598264288915
7.8718392803043855,2.8056798249808166,1.8201578765296336
5.10465337612989,2.2593479980140043,1.4993768885259253
7.841660113315993,2.800296433114893,1.7300323337555548
9.646328735973803,3.1058539463364667,1.8264995754666686
9.624122033199658,3.102276911108945,1.8957502499148162
