test_size,MAX_DEPTH,MIN_SAMPLES_SPLIT,MIN_SAMPLES_LEAF,MAX_FEATURES,MSE,RMSE,MAE
0.3,10,5,5,4,20.728327585903184,4.552837311600666,3.0893487088334424
0.3,10,5,5,4,18.498678905933676,4.301009056713747,2.873441066955027
0.3,10,5,5,4,17.35472296088217,4.165900018109193,2.7957587838453057
0.3,10,5,5,4,20.39030348679429,4.515562366615513,2.9744478042504308
0.3,10,5,5,4,22.647195185889366,4.758906931837328,3.254600548661076
0.3,20,5,5,4,19.23129758484401,4.3853503377545575,2.9588926690114636
0.3,20,5,5,4,20.245653404192,4.499517018991261,2.8945930470370373
0.3,20,5,5,4,17.3482731780644,4.165125829799671,2.831261253231923
0.3,20,5,5,4,18.88231674868136,4.345378780806267,2.938902975554674
0.3,20,5,5,4,19.250613512873166,4.38755210941969,2.9882040262416236
0.3,100,5,5,4,17.91963600571971,4.233159104701796,2.8345337294514996
0.3,100,5,5,4,17.458125520837566,4.178292177533492,2.855583471715168
0.3,100,5,5,4,19.78656415048264,4.44820909473494,2.8794218654047623
0.3,100,5,5,4,17.497286834489177,4.182975834796225,2.7192471101155204
0.3,100,5,5,4,20.743837480951434,4.554540314999027,3.074133348226631
0.3,100,5,5,4,23.123342472923532,4.8086736708705375,3.182355582706349
0.3,5,10,5,4,61.00090990204075,7.810307926198605,5.8978609064621725
0.3,5,10,5,4,59.53611881100762,7.715965189851987,5.7210831829049775
0.3,5,10,5,4,50.86134005185764,7.13171368268929,5.377040058269506
0.3,5,10,5,4,47.110803598924406,6.863731026120153,4.992075479866851
0.3,5,10,5,4,62.9350528316395,7.933161591171549,6.12125409145605
0.3,5,5,5,4,55.81543511536215,7.470972835940588,5.660309605767291
0.3,5,5,5,4,53.091059724560864,7.286361212879915,5.449456949146907
0.3,5,5,5,4,64.86659909404733,8.053980326152239,5.919707839271253
0.3,5,5,5,4,58.22666354718994,7.6306397862295885,5.4703354983921395
