 MSE: 16.972516025340024, RMSE: 4.119771355954117, MAE: 2.84042731679176
 MSE: 19.58549695297067, RMSE: 4.425550468921427, MAE: 3.070724570278703
 MSE: 23.79881529475677, RMSE: 4.878402945099633, MAE: 3.2580840569988565
 MSE: 14.465708581174539, RMSE: 3.8033812037678447, MAE: 2.5733604505255734
 MSE: 19.207880557335915, RMSE: 4.382679609250021, MAE: 2.9053308739256045
 MSE: 18.501990138562597, RMSE: 4.30139397620848, MAE: 2.7453393097422203
 MSE: 22.457603067359102, RMSE: 4.738945353911469, MAE: 3.130207619637037
 MSE: 20.961925779533757, RMSE: 4.578419572246929, MAE: 2.9702636111907967
 MSE: 23.177506724653462, RMSE: 4.814302309229601, MAE: 3.150413086224178
 MSE: 20.244726692614396, RMSE: 4.499414038807098, MAE: 2.9076439129220453
 MSE: 23.427992412753074, RMSE: 4.840247143767876, MAE: 3.2033023255635373
 MSE: 18.90411716563133, RMSE: 4.3478865171059065, MAE: 2.7615452108531744
 MSE: 21.13619260451776, RMSE: 4.597411511330888, MAE: 3.074287563076821
 MSE: 20.687394670669665, RMSE: 4.548339770803151, MAE: 3.0697267486434896
 MSE: 20.35384038067667, RMSE: 4.511523066623584, MAE: 2.9811221982533342
 MSE: 24.106906775418334, RMSE: 4.909878488864906, MAE: 3.10391881515711
 MSE: 23.836387685267102, RMSE: 4.882252316837701, MAE: 3.0655599379563094
 MSE: 19.396245682134342, RMSE: 4.404116901506401, MAE: 2.9345515838414435
 MSE: 21.858475007870677, RMSE: 4.6753048037396105, MAE: 2.9864474486398906
 MSE: 17.937128839390095, RMSE: 4.2352247684615385, MAE: 2.8609285898981787
 MSE: 18.080232066190526, RMSE: 4.252085613694828, MAE: 2.8722548145166384
 MSE: 25.872324674251747, RMSE: 5.086484510371751, MAE: 3.346667534062345
 MSE: 22.89919736664184, RMSE: 4.785310582046043, MAE: 3.151968943780338
 MSE: 18.295372655551102, RMSE: 4.277309043727271, MAE: 2.867715746381863
 MSE: 21.456857369280932, RMSE: 4.632154722079233, MAE: 2.926028309021929
 MSE: 21.282630083695842, RMSE: 4.613310100534739, MAE: 2.9448098983126125
 MSE: 23.980173819376635, RMSE: 4.896955566408239, MAE: 3.1287270487189898
 MSE: 21.461282793495368, RMSE: 4.632632382727489, MAE: 3.0151406089773083
 MSE: 19.592219198319132, RMSE: 4.4263098850305465, MAE: 2.966414259294594
 MSE: 31.46106673572327, RMSE: 5.609016556912921, MAE: 3.653379963818396
 MSE: 25.626095890367207, RMSE: 5.062222426006902, MAE: 3.3824525160257335
