MSE: 12.376843908921218, RMSE: 3.518073891907505, MAE: 2.0604597663019057
MSE: 6.479070065579917, RMSE: 2.5454017493472256, MAE: 1.6091240574111134
MSE: 9.75747330864434, RMSE: 3.1236954570899416, MAE: 1.9045214559555577
MSE: 7.132948785357237, RMSE: 2.6707580918827594, MAE: 1.798722260544764
MSE: 6.2568994815418835, RMSE: 2.5013795156956657, MAE: 1.603009619148149
MSE: 6.581094302308365, RMSE: 2.5653643605360164, MAE: 1.540753019000001
MSE: 5.7023995508760805, RMSE: 2.387969755017027, MAE: 1.4591360078185192
MSE: 6.685366138785564, RMSE: 2.5856074989807643, MAE: 1.7119018629222238
MSE: 7.0445685641961004, RMSE: 2.6541606138657285, MAE: 1.737836695415344
MSE: 7.017182763372928, RMSE: 2.6489965578257983, MAE: 1.623951577814816
MSE: 9.691613928218175, RMSE: 3.113135706681958, MAE: 1.8106078696358918
MSE: 8.268367548324578, RMSE: 2.875476925368134, MAE: 1.6383122599555533
MSE: 7.304038306186196, RMSE: 2.702598435984561, MAE: 1.706241467191853
MSE: 8.465342758350662, RMSE: 2.909526208569131, MAE: 1.7653702214888896
MSE: 6.105951833229297, RMSE: 2.471022426694929, MAE: 1.5552799703925906
MSE: 7.795972276557421, RMSE: 2.792126837476661, MAE: 1.7424731656909243
MSE: 8.782393449469081, RMSE: 2.9635103255209154, MAE: 1.8952391307777765
MSE: 7.740096295381309, RMSE: 2.782102854924905, MAE: 1.8059136171945682
MSE: 8.452533057705969, RMSE: 2.907324037273102, MAE: 1.807593033866668
MSE: 7.313148518662146, RMSE: 2.70428336508254, MAE: 1.6625873648169769
MSE: 10.62972645898262, RMSE: 3.2603261277029665, MAE: 1.8868619895777794
MSE: 8.294622537558334, RMSE: 2.880038634733627, MAE: 1.7672547525722264
MSE: 5.898728483068593, RMSE: 2.4287298085766134, MAE: 1.6017113520666668
MSE: 7.308176228710064, RMSE: 2.7033638727907245, MAE: 1.7471477332355572
MSE: 8.598861333971964, RMSE: 2.9323815123499815, MAE: 1.7773923719333342
MSE: 8.542719526421067, RMSE: 2.9227931035947563, MAE: 1.7286568211000026
MSE: 6.732033197158457, RMSE: 2.594616194576465, MAE: 1.6628968169629652
MSE: 6.115048920902595, RMSE: 2.47286249534878, MAE: 1.6151198825333315
MSE: 6.622157127612056, RMSE: 2.573355227638045, MAE: 1.6083535636444473
MSE: 8.455804777972475, RMSE: 2.907886651500102, MAE: 1.6939555447792596
MSE: 5.582030333163508, RMSE: 2.362632077400861, MAE: 1.5643377080114171
MSE: 12.48656679126924, RMSE: 3.533633652668205, MAE: 1.9363227590103074
MSE: 7.521290916164314, RMSE: 2.742497204404102, MAE: 1.7501329604244387
MSE: 7.027913692321439, RMSE: 2.6510212545963188, MAE: 1.730318572501372
MSE: 6.597679778102013, RMSE: 2.5685949034641515, MAE: 1.6376203373777787
MSE: 7.928464841705465, RMSE: 2.8157529795252754, MAE: 1.806970947838097
MSE: 6.312712924648276, RMSE: 2.512511278511656, MAE: 1.6083849013111102
